NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,Median Household Income,DP03_0119PE
"Rickardsville city, Iowa",177,3.04,6,20.6,80000,3.8
"Worthington city, Iowa",414,2.69,5,21.6,66250,6.2
"Denver city, Iowa",1772,2.89,46,21.6,61384,0.6
"Adel city, Iowa",4103,3.03,21,23.6,60701,4.3
"Dawson city, Iowa",151,3.86,46,24.6,39219,0
"Underwood city, Iowa",896,3.2,14,23.5,82031,4.7
"Beacon city, Iowa",526,2.93,4,24.7,34167,7.1
"Fairfax city, Iowa",2473,3.09,82,17.6,93103,0
"Lisbon city, Iowa",2185,2.86,61,23.3,58578,8.8
"Renwick city, Iowa",265,2.79,9,18.7,32019,9.3
"Rutland city, Iowa",129,2.9,0,21.7,39375,17.2
"Thor city, Iowa",228,3.38,0,25.3,53438,6.9
"Monticello city, Iowa",3817,2.77,39,17.2,51341,4.2
"Joice city, Iowa",190,2.71,4,18,40833,0
"St. Lucas city, Iowa",142,2.52,0,25,57917,10
"West Union city, Iowa",2629,2.89,37,14.4,44722,11
"Baxter city, Iowa",914,2.83,14,26.5,54779,3.3
"Dows city, Iowa",506,2.82,44,25.5,37847,7.8
"Greenfield city, Iowa",1821,2.75,27,17.5,42931,5.6
"Stratford city, Iowa",600,2.79,2,24.8,49750,3.9
"Coalville CDP, Iowa",618,2.84,0,16.2,41100,28.5
"Farnhamville city, Iowa",382,2.47,1,29.9,40179,20.2
"Callender city, Iowa",486,3.23,13,18.8,41667,13.8
"Harcourt city, Iowa",306,3.16,2,29.7,47375,3.7
"Otho city, Iowa",503,2.74,0,20.5,43125,7.1
"Estherville city, Iowa",5930,2.74,770,13.6,46028,10.8
"Gruver city, Iowa",96,2.53,0,25.6,40000,16.7
"Ladora city, Iowa",293,2.73,21,27,49583,6.3
"Williamsburg city, Iowa",3146,2.71,152,20.3,48387,7
"West Burlington city, Iowa",2967,2.99,116,11.7,44886,10.3
"Dike city, Iowa",1354,2.74,6,19.1,80227,4.8
"Dunlap city, Iowa",959,2.58,14,21.3,54063,1.1
"Little Sioux city, Iowa",121,2.36,3,32.7,24063,20.5
"Montrose city, Iowa",911,3.13,3,18.2,50917,6.3
"Coburg city, Iowa",55,3.33,0,17.5,52813,0
"Creston city, Iowa",7860,2.95,383,15.2,42198,10.9
"Brayton city, Iowa",142,3.33,4,26.3,41250,10
"Gray city, Iowa",152,4.19,0,17.9,90000,0
"Aspinwall city, Iowa",17,3.25,2,19.5,-,0
"Denison city, Iowa",8361,3.34,3419,13.8,51122,12.6
"Manilla city, Iowa",912,2.9,92,22.5,37105,17.4
"Alexander city, Iowa",154,3.22,0,18.2,25625,36.6
"Coulter city, Iowa",221,3.17,14,21.9,48750,0
"Popejoy city, Iowa",50,3.46,3,23.6,-,23.1
"Iowa City city, Iowa",73415,2.87,11491,17.1,45991,9
"Swisher city, Iowa",905,2.96,29,24.6,84018,0
"Harvey city, Iowa",257,2.86,7,30,47375,15.1
"Seymour city, Iowa",575,2.89,9,29.6,27344,29.6
"Lenox city, Iowa",1438,2.75,351,17.1,38986,6.2
"Burlington city, Iowa",25330,2.83,945,14.7,42907,14.9
"Morrison city, Iowa",118,2.69,0,13.8,43750,2.8
"Stout city, Iowa",163,3.23,3,23.5,52500,10.3
"Mondamin city, Iowa",301,2.62,6,33.8,49643,8.6
"St. Paul city, Iowa",89,2.92,3,21.3,55357,8
"Stanton city, Iowa",628,2.34,0,20.8,59821,2.7
"Arispe city, Iowa",113,2.82,1,43.8,-,3
"Lansing city, Iowa",833,2.34,9,25.5,41071,5.6
"New Albin city, Iowa",558,3.1,7,24.2,30385,1.6
"Bedford city, Iowa",1492,2.73,31,19.4,41500,7.5
"Blockton city, Iowa",156,2.53,0,41.3,35357,11.1
"Conway city, Iowa",21,2,0,N,37917,0
"Kiron city, Iowa",259,2.63,2,21.9,35125,25.3
"Westside city, Iowa",303,2.61,0,15.8,54250,0
"Sheffield city, Iowa",1132,3.23,14,17.3,50000,8.5
"Coralville city, Iowa",20250,3.17,2917,18.7,57990,10.6
"Tiffin city, Iowa",2746,3.08,165,20,67650,3.7
"University Heights city, Iowa",1242,3,92,15.6,72083,11
"Knoxville city, Iowa",7202,2.87,221,19,43986,12.6
"Pleasantville city, Iowa",1727,2.95,22,29.2,49583,13.9
"Conrad city, Iowa",1066,2.87,2,17.7,44191,11.8
"Wellsburg city, Iowa",845,2.88,23,23.9,54118,4.6
"Missouri Valley city, Iowa",2661,2.69,38,23.9,41975,15.1
"Woodbine city, Iowa",1673,2.89,16,17.4,52283,6
"Hampton city, Iowa",4311,2.86,843,14.4,43438,16.6
"Hansell city, Iowa",100,3.11,2,24.7,77708,7.4
"Hills city, Iowa",656,2.57,1,19.1,50000,4.8
"Pella city, Iowa",10243,2.93,546,10.7,64527,3.4
"Promise City city, Iowa",110,2.45,0,28.7,-,0
"Manson city, Iowa",1800,2.71,8,20.5,37457,10.2
"Truro city, Iowa",525,3.16,8,31.5,52708,4.2
"Keystone city, Iowa",634,3.1,4,23.8,64375,3.1
"Bouton city, Iowa",172,3.11,0,24.1,46458,0
"Greene city, Iowa",1018,2.82,11,29.8,44107,5.3
"Plainfield city, Iowa",580,3.1,12,26.9,56944,3.9
"Tripoli city, Iowa",1269,2.95,34,21.5,51544,7.3
"Woodward city, Iowa",1630,2.81,13,21.2,60298,6.2
"Mystic city, Iowa",382,3,2,24.8,29545,12.4
"Carroll city, Iowa",9937,2.95,127,10.6,44561,7.8
"Lidderdale city, Iowa",119,2.26,0,11.9,44375,4.3
"Postville city, Iowa",2486,3.43,1155,15.5,34732,26.9
"Brandon city, Iowa",314,3.34,0,28.2,43571,12.5
"Rowley city, Iowa",276,2.49,6,24.9,55000,3.6
"Gillett Grove city, Iowa",34,1.91,0,10.9,-,9.1
"Greenville city, Iowa",79,2.38,0,14.6,42917,0
"Atkins city, Iowa",1793,2.96,5,22.6,86875,3.7
"Lake City city, Iowa",1866,2.69,25,16.9,43413,15.3
"Yetter city, Iowa",32,2.78,0,N,15000,55.6
"Belmond city, Iowa",2669,2.91,259,16.5,45000,10
"Woolstock city, Iowa",166,2.65,2,19,40625,5
"Waverly city, Iowa",10052,2.95,409,15.2,61935,1.5
"Dexter city, Iowa",683,3.32,4,30.3,63125,7.4
"Pulaski city, Iowa",315,3.06,16,24.3,54063,2.2
"Earlham city, Iowa",1496,3.05,2,25.4,69464,5.4
"De Witt city, Iowa",5227,2.9,152,17.5,60107,6.4
"Lost Nation city, Iowa",491,2.62,0,27.6,45729,16.7
"Lockridge city, Iowa",282,3.42,3,23,41875,13.8
"Derby city, Iowa",100,2.84,1,29.8,36071,16
"Bevington city, Iowa",51,4.3,0,28.2,39792,0
"Decorah city, Iowa",7850,2.65,233,13.4,55282,6.6
"Early city, Iowa",682,2.88,6,20.7,43688,15
"Mount Auburn city, Iowa",119,2.71,0,28.6,46250,3.2
"Jolley city, Iowa",27,2.67,0,N,-,0
"Defiance city, Iowa",223,2.6,7,25.1,40536,9.7
"Earling city, Iowa",428,2.94,2,23.8,43977,0.9
"Elk Horn city, Iowa",538,2.73,9,15.8,60000,5.5
"Portsmouth city, Iowa",156,2.61,0,20,50000,0
"Sioux Center city, Iowa",7450,3.1,635,9.2,73185,4.5
"Carson city, Iowa",747,3.11,8,27,49250,5.9
"Gladbrook city, Iowa",931,2.78,24,24.6,52115,3.7
"Neola city, Iowa",916,3.21,3,29.2,48875,5.6
"Delhi city, Iowa",478,2.57,9,23.3,57917,5
"Burt city, Iowa",556,3.22,4,14.6,39886,13.1
"Traer city, Iowa",1646,2.93,37,23.6,54943,1.6
"Stanley city, Iowa",141,3.79,2,30.2,56000,11.8
"Fertile city, Iowa",370,2.77,10,22.3,44125,0
"Fairbank city, Iowa",1174,2.73,13,25.5,62500,4.2
"Fayette city, Iowa",1112,2.79,153,11.3,33958,5.7
"Larchwood city, Iowa",896,3.01,45,20.5,48482,3.1
"Varina city, Iowa",76,3.5,9,19.4,32500,33.3
"Mechanicsville city, Iowa",1020,2.64,16,29.9,60465,0
"Holiday Lake CDP, Iowa",356,2.14,0,44.9,61908,7.6
"Stone City CDP, Iowa",300,3.45,0,44.9,98897,0
"Miller CDP, Iowa",0,-,0,-,-,-
"Hayfield CDP, Iowa",56,3.21,0,N,-,0
"Hutchins CDP, Iowa",25,2,0,N,-,0
"Duncan CDP, Iowa",94,-,10,N,77500,-
"Burr Oak CDP, Iowa",242,3.45,0,19.2,92589,0
"Weston CDP, Iowa",97,1.96,0,N,75865,0
"South Amana CDP, Iowa",110,1.88,11,N,62938,0
"West Amana CDP, Iowa",269,1.68,0,24.3,-,0
"High Amana CDP, Iowa",72,2.76,0,N,-,0
"Middle Amana CDP, Iowa",626,2.71,59,19.1,122857,0
"Amana CDP, Iowa",390,2.42,34,20.5,60521,0
"Loveland CDP, Iowa",41,3.15,0,N,-,0
"Bentley CDP, Iowa",104,2.42,0,23.5,114185,0
"Rochester CDP, Iowa",45,-,0,N,33188,-
"Kent CDP, Iowa",26,4.33,0,N,-,0
"Garden City CDP, Iowa",91,2.09,0,29.4,102813,15.6
"Beaverdale CDP, Iowa",1265,3.44,0,19.9,49457,14.6
"Mineola CDP, Iowa",155,4.04,3,N,56250,0
"River Sioux CDP, Iowa",112,3.22,0,41.4,-,59.4
"California Junction CDP, Iowa",56,2.24,0,N,87344,0
"Frytown CDP, Iowa",38,1.9,0,-,-,0
"Bradford CDP, Iowa",56,2.04,0,N,58409,0
"Chapin CDP, Iowa",155,3.14,0,N,46786,0
"Sun Valley Lake CDP, Iowa",270,2.07,6,26.3,75446,5.3
"Washburn CDP, Iowa",800,2.47,0,15.4,51129,0
"Otranto CDP, Iowa",9,-,0,-,-,-
"New Haven CDP, Iowa",58,4.89,0,N,-,0
"Mona CDP, Iowa",123,3.66,0,N,65517,0
"Meyer CDP, Iowa",12,1.71,0,N,-,0
"Little Cedar CDP, Iowa",17,-,0,-,-,-
"Roseville CDP, Iowa",0,-,0,-,-,-
"Twin Lakes CDP, Iowa",208,2.05,0,20.7,116458,9.1
"Lake Panorama CDP, Iowa",1086,2.56,0,38.3,90875,0
"Diamondhead Lake CDP, Iowa",355,3.15,35,30.7,78750,0
"Sheldahl city, Iowa",288,2.6,0,22.2,64479,8.3
"Princeton city, Iowa",1130,3.22,11,27.1,73500,6
"La Motte city, Iowa",221,2.4,4,28.3,62188,3.7
"Maquoketa city, Iowa",5954,2.74,28,20,46173,12.5
"Preston city, Iowa",1021,2.7,7,22.6,50673,6.9
"Sabula city, Iowa",450,2.56,2,21.6,50855,1.6
"Zwingle city, Iowa",106,2.78,1,27.1,47750,13
"New Market city, Iowa",430,2.39,3,17.8,41719,8
"Moorland city, Iowa",221,2.84,5,17.4,45625,11.5
"Vincent city, Iowa",146,2.5,13,22.7,52500,4.8
"Marengo city, Iowa",2770,2.82,140,18.3,46625,9.6
"Ayrshire city, Iowa",147,3.7,3,16.8,21607,8.7
"Mallard city, Iowa",247,2.36,1,19.1,36875,9.3
"Ames city, Iowa",65005,2.78,8531,16.4,42755,4.1
"St. Anthony city, Iowa",56,3,0,37,31875,18.8
"Dixon city, Iowa",173,3.19,2,28.7,52917,0
"New Liberty city, Iowa",164,3.43,0,26.6,47813,5.4
"Castana city, Iowa",93,2.63,0,31.8,30250,16.7
"Melrose city, Iowa",164,2.55,3,29,50446,3.6
"Clear Lake city, Iowa",7612,2.73,260,17.3,54123,6.1
"Meservey city, Iowa",189,2.28,0,33,57969,10.8
"Bellevue city, Iowa",2315,2.66,21,20.5,50121,6.3
"St. Donatus city, Iowa",122,2.35,0,21.6,35625,0
"Chariton city, Iowa",4162,2.67,146,15.5,42738,10.6
"Melvin city, Iowa",258,3,29,20.5,54286,4.3
"Sibley city, Iowa",2659,2.85,247,19.1,49500,13
"Indianola city, Iowa",15489,2.89,370,21,55634,6.5
"Duncombe city, Iowa",313,2.49,1,18.2,35536,12.8
"Lehigh city, Iowa",395,2.5,6,26.5,36964,11.9
"Wallingford city, Iowa",190,2.65,0,19,56250,8.2
"Imogene city, Iowa",36,4,2,41.7,-,0
"Woden city, Iowa",263,2.89,18,30,36635,31.6
"Gibson city, Iowa",36,2.75,0,24.3,46875,0
"Kinross city, Iowa",48,2.31,0,33.9,40000,0
"Richland city, Iowa",631,2.86,0,20.7,60375,2.1
"Searsboro city, Iowa",219,3.12,0,18.5,36563,20
"Emmetsburg city, Iowa",3783,2.87,260,13.2,48166,0
"Grant city, Iowa",100,3.05,3,27.4,35729,27.3
"Diagonal city, Iowa",378,2.82,8,22.3,40625,12.5
"Kellerton city, Iowa",305,2.68,6,25.7,39306,19.4
"Collins city, Iowa",462,3.27,7,28.5,53750,6.9
"Persia city, Iowa",334,3.13,12,29.1,58333,10.2
"Franklin city, Iowa",172,2.49,0,26.8,56250,0
"Badger city, Iowa",528,2.81,0,17.3,61538,1.9
"Colo city, Iowa",858,3.18,5,21,60875,6.6
"Gilbert city, Iowa",1197,3.3,28,22,87375,4.4
"Ferguson city, Iowa",148,2.91,0,25,46667,2.9
"Liscomb city, Iowa",322,2.95,2,24,52917,13.5
"Correctionville city, Iowa",832,3.04,25,27.1,41181,7.8
"Sioux City city, Iowa",82568,3.16,13908,16.9,48559,10.6
"Dallas Center city, Iowa",1941,2.96,29,22.9,70772,3.8
"Chillicothe city, Iowa",101,2.34,0,35.1,37500,18.8
"Fremont city, Iowa",710,2.93,1,22.9,44821,15.4
"Webb city, Iowa",177,3.08,14,19.6,51071,0
"Boone city, Iowa",12538,3,383,18.6,50323,5.8
"Terril city, Iowa",386,2.28,4,20.6,52083,12.2
"Bertram city, Iowa",344,2.88,14,21.2,89688,2
"Nichols city, Iowa",403,2.84,66,25.2,51250,0
"Northboro city, Iowa",43,2.58,0,32.6,35625,16.7
"Grand Junction city, Iowa",918,2.98,0,21.8,45893,19.5
"Carlisle city, Iowa",4069,3.19,33,23.2,68568,3.4
"Knierim city, Iowa",53,4,0,18.3,56667,0
"Sheldon city, Iowa",5060,2.71,371,12.9,50611,11.4
"Halbur city, Iowa",274,3.33,0,15.6,61875,0
"University Park city, Iowa",527,3.6,6,15.3,44464,12.7
"Frederika city, Iowa",305,3.43,6,22,43750,11.1
"Somers city, Iowa",133,3.32,4,25.8,47500,14.3
"Rossie city, Iowa",58,2.35,0,13.9,48750,23.5
"Galt city, Iowa",44,2.83,0,26.4,103438,0
"Garwin city, Iowa",482,2.85,11,22.2,45625,3.2
"Malcom city, Iowa",285,2.62,1,16,45000,0
"Ventura city, Iowa",791,3.05,10,24.4,69792,0.5
"Luzerne city, Iowa",129,2.88,0,28,70208,0
"Shellsburg city, Iowa",973,2.96,6,26.9,44868,9.6
"Orient city, Iowa",417,3.08,3,19.5,44659,12.2
"Fredericksburg city, Iowa",1240,2.79,38,15.8,38125,3.6
"Lawler city, Iowa",342,2.46,5,21.8,50268,0
"Nashua city, Iowa",1550,2.75,10,24.3,50278,6.9
"North Washington city, Iowa",160,3.04,8,14.7,70000,2.2
"Arnolds Park city, Iowa",1086,2.16,56,15.4,41801,14.8
"Spirit Lake city, Iowa",4967,2.59,103,11.7,51758,4.3
"Charlotte city, Iowa",304,2.91,18,24.5,48542,12.2
"Wheatland city, Iowa",791,3.42,5,30.9,50313,12.4
"Marble Rock city, Iowa",304,2.84,7,25.8,46875,2.3
"Batavia city, Iowa",651,3.75,4,18.2,42422,17.2
"Patterson city, Iowa",197,2.96,2,37.1,53068,3.8
"Shenandoah city, Iowa",4977,2.93,266,10.6,39479,13.2
"West Chester city, Iowa",74,2.48,3,23.1,31250,4.3
"Corning city, Iowa",1581,2.62,25,16.2,44167,7.8
"Cincinnati city, Iowa",355,3.24,4,19.5,37250,11.6
"Plano city, Iowa",54,2.53,0,21.9,46875,10.5
"Allison city, Iowa",1224,3.1,63,21.7,53350,4.3
"Parkersburg city, Iowa",1972,2.93,22,23.9,44444,6.9
"Wadena city, Iowa",266,2.93,5,22.8,66250,20.3
"Kellogg city, Iowa",695,2.98,16,21.2,48438,7.6
"Sully city, Iowa",844,2.83,2,18.4,60536,10.9
"Andover city, Iowa",93,2.73,0,17.9,57321,0
"Toronto city, Iowa",121,2.94,0,39.9,34821,11.8
"Colwell city, Iowa",81,3.32,0,20.5,57917,36.8
"Pleasant Plain city, Iowa",72,2.79,0,18.5,49583,0
"Brighton city, Iowa",555,2.82,9,24.3,45208,11
"St. Charles city, Iowa",760,3.02,10,32.8,69107,6.3
"Blanchard city, Iowa",19,2,0,25,61250,0
"Hepburn city, Iowa",15,2.5,0,13.2,67500,0
"Shambaugh city, Iowa",182,2.87,0,12,38000,12.7
"Yorktown city, Iowa",73,2.43,2,24.4,38750,10.7
"Coppock city, Iowa",40,2.46,1,43.2,26042,0
"Wellman city, Iowa",1359,2.88,49,24.1,58478,5.8
"Dakota City city, Iowa",751,2.75,31,13.6,44728,3.2
"Ottosen city, Iowa",54,2.47,2,25.1,47750,23.5
"Aplington city, Iowa",1064,2.83,40,27.5,53995,9.2
"Packwood city, Iowa",313,3.2,3,20.8,52054,3.8
"Washington city, Iowa",7358,2.79,536,17.2,45509,10.8
"Bode city, Iowa",308,2.67,18,20.9,45750,11.5
"Lewis city, Iowa",444,2.66,7,28.2,46429,11.7
"Marne city, Iowa",128,2.72,0,26.7,53125,4.7
"Dickens city, Iowa",225,2.91,10,17.5,55000,17.2
"Moulton city, Iowa",689,3.02,3,17.6,33036,24
"Unionville city, Iowa",74,2.18,0,34.2,48125,4.5
"Clinton city, Iowa",25892,2.91,734,15.8,42702,11.6
"Goose Lake city, Iowa",241,3.39,3,26.6,60417,3.4
"Welton city, Iowa",133,3.38,0,33.2,46705,0
"Center Junction CDP, Iowa",91,2.23,0,20.8,-,4.5
"Irvington CDP, Iowa",0,-,0,-,-,-
"St. Joseph CDP, Iowa",154,4.81,6,14.9,48333,25
"St. Benedict CDP, Iowa",18,2.33,0,N,-,0
"Sexton CDP, Iowa",42,3.82,0,N,-,0
"Green Mountain CDP, Iowa",128,2.68,8,14.5,47353,5.4
"Jacksonville CDP, Iowa",21,-,0,-,-,-
"Corley CDP, Iowa",31,2.1,0,N,-,0
"Athelstan CDP, Iowa",10,2,0,N,-,0
"Watkins CDP, Iowa",136,2.67,0,N,51563,0
"Bolan CDP, Iowa",9,-,0,-,-,-
"Climbing Hill CDP, Iowa",152,3.65,0,N,64500,0
"Homestead CDP, Iowa",194,3.69,0,29.2,49020,0
"East Amana CDP, Iowa",11,1.83,0,N,-,0
"Conroy CDP, Iowa",293,2.15,8,19.4,64712,0
"Mount Sterling CDP, Iowa",49,2.33,2,N,-,0
"Le Roy city, Iowa",4,2,0,-,-,0
"Randall city, Iowa",188,2.85,16,21.5,59792,13.2
"Coon Rapids city, Iowa",1329,3,66,23.7,43500,8.1
"Walford city, Iowa",1396,3.14,3,23.3,105682,1
"Pierson city, Iowa",397,3.59,11,29,38409,8.5
"Atalissa city, Iowa",308,3.31,12,22,70313,1.2
"Brunsville city, Iowa",96,2.46,1,19.1,56250,0
"Cushing city, Iowa",208,2.78,2,21.8,43500,3.2
"Salix city, Iowa",349,2.91,6,18.5,55000,5.6
"Oxford Junction city, Iowa",412,2.57,0,35,38750,17.6
"Wyoming city, Iowa",385,2.63,6,29.3,46125,12.2
"Alvord city, Iowa",260,3.14,28,22.3,60833,2.7
"Little Rock city, Iowa",463,2.72,16,18.6,50875,5.1
"Fonda city, Iowa",515,3.05,38,26.6,45625,16.9
"Gilmore City city, Iowa",454,2.62,8,21,40417,4.7
"Palmer city, Iowa",171,3.09,10,19.7,27083,8.6
"Pocahontas city, Iowa",1701,2.72,4,14.6,42159,4.9
"Clarence city, Iowa",888,2.92,48,32.6,45789,4.2
"Decatur City city, Iowa",196,2.93,8,22.7,43269,10.7
"Weldon city, Iowa",165,2.28,8,29.3,40556,17.2
"Numa city, Iowa",101,2.88,0,13.6,41250,4
"Beaver city, Iowa",77,3.94,0,33.2,55000,0
"Fraser city, Iowa",150,3.24,0,28.8,71875,8.1
"Paullina city, Iowa",989,2.6,41,19.3,55893,4.6
"Sanborn city, Iowa",1409,2.8,39,16.6,53155,2.9
"Kirkville city, Iowa",177,2.74,0,28.6,53125,1.7
"Baldwin city, Iowa",138,2.9,0,19.4,37917,0
"Newhall city, Iowa",1024,2.75,16,26,72708,1.2
"Milo city, Iowa",853,2.95,3,31.7,58250,8.1
"Hartford city, Iowa",783,3.09,0,29.1,63173,4
"Lake Mills city, Iowa",2049,2.87,48,16.1,45060,4.3
"Belle Plaine city, Iowa",2546,2.93,33,22.3,40208,9
"Blairstown city, Iowa",702,2.72,66,28.2,55000,12.4
"Lohrville city, Iowa",344,2.77,7,22.3,47813,5.7
"Rinard city, Iowa",45,3.56,2,23.3,20000,0
"Cherokee city, Iowa",5018,2.74,186,13.2,45103,17.7
"Arthur city, Iowa",258,2.74,0,18.7,46750,1.3
"Aurora city, Iowa",192,2.96,9,30.7,39167,14
"Lamont city, Iowa",538,2.96,2,22.7,46167,10
"Ackley city, Iowa",1729,2.84,189,18.9,46726,6.4
"Radcliffe city, Iowa",588,2.89,28,22.4,55114,7.1
"Algona city, Iowa",5488,2.65,119,9.4,53891,1
"Whittemore city, Iowa",476,2.67,2,18,43393,7.2
"Clutier city, Iowa",220,2.69,13,32.6,45000,7.7
"Toledo city, Iowa",2201,3.02,372,20.3,42917,16
"Albert City city, Iowa",620,2.77,41,17.9,44554,4
"Alta city, Iowa",2188,2.98,292,16.1,52351,7.9
"North Buena Vista city, Iowa",98,2.37,0,41.8,35938,6.7
"St. Olaf city, Iowa",154,3.6,4,27,57361,0
"Cresco city, Iowa",3793,2.85,110,12.9,45929,11.2
"Columbus City city, Iowa",474,3.4,225,22,59327,4.9
"Calumet city, Iowa",170,2.79,0,17.8,46250,7.1
"Sutherland city, Iowa",619,2.49,3,21.6,48250,7.5
"Treynor city, Iowa",898,3.04,6,29.4,69038,2.3
"Chatsworth city, Iowa",74,2.8,0,23.1,-,10
"Hull city, Iowa",2058,2.97,263,12.3,56587,7.2
"Maurice city, Iowa",333,3.17,72,15.1,59500,2.2
"Council Bluffs city, Iowa",62317,3.06,4841,18.6,49750,9.9
"Walnut city, Iowa",673,2.72,0,25.5,46250,3.1
"Andrew city, Iowa",463,2.99,3,26.2,48083,17.3
"Quimby city, Iowa",381,2.76,2,22.2,41563,10.9
"Galva city, Iowa",381,3.07,29,22.4,44750,12.7
"Ida Grove city, Iowa",2160,2.65,21,18.1,43451,13.8
"Lacona city, Iowa",423,2.89,5,34.7,46250,22.4
"Spillville city, Iowa",462,3.19,14,22.6,40833,1
"Scarville city, Iowa",76,2.38,0,21.5,39375,11.5
"Castalia city, Iowa",200,2.65,2,20.6,45000,7.3
"Ridgeway city, Iowa",235,2.6,6,25,55625,0
"Auburn city, Iowa",252,2.87,4,15.7,43625,13
"Odebolt city, Iowa",1017,2.82,6,16.9,49917,3.6
"Wall Lake city, Iowa",788,2.9,9,15.8,50909,8.8
"Eddyville city, Iowa",1337,3.3,10,20.5,47083,12.7
"Holy Cross city, Iowa",335,2.65,3,31.7,55938,0
"New Vienna city, Iowa",396,2.59,0,23.6,55156,5.1
"Battle Creek city, Iowa",746,2.85,34,21.1,47045,1
"Winthrop city, Iowa",891,2.96,7,19,51442,6.1
"Marathon city, Iowa",251,2.9,40,23.8,36458,24.6
"Garber city, Iowa",124,3.23,0,25.8,53000,6.5
"Thornton city, Iowa",471,2.83,7,27.7,44500,14.1
"Waucoma city, Iowa",225,2.81,0,20.9,40000,11.3
"Van Wert city, Iowa",186,2.52,8,29.6,34583,0
"Silver City city, Iowa",223,2.96,8,33,71250,2.9
"Stanwood city, Iowa",595,3.01,9,33.6,52917,1.9
"Fontanelle city, Iowa",641,2.44,8,22.7,41477,6.4
"Bagley city, Iowa",342,3.21,3,37.1,46719,11.7
"Pleasanton city, Iowa",18,3,0,N,-,33.3
"Lu Verne city, Iowa",293,2.64,8,22.1,38750,30
"Walcott city, Iowa",1469,2.76,52,21.6,48073,5
"Hopkinton city, Iowa",532,2.66,4,19.4,45568,8.1
"Macksburg city, Iowa",109,2.14,2,28,25000,22.2
"Mount Union city, Iowa",121,2.82,0,24.3,36750,27.3
"Peterson city, Iowa",328,2.81,3,23.8,44286,12.4
"Clarksville city, Iowa",1413,3,0,22.1,44271,6
"Perry city, Iowa",7747,3.21,2450,19.1,42442,11.4
"Drakesville city, Iowa",188,2.77,0,29.1,32188,13.2
"Rowan city, Iowa",185,2.78,1,18.8,32361,29.1
"Calamus city, Iowa",435,3.11,2,28.2,52279,5.3
"Houghton city, Iowa",149,2.7,0,31,68750,8
"Red Oak city, Iowa",5475,2.62,286,15.3,34966,22.7
"Solon city, Iowa",2485,3.49,97,21.3,71750,7.5
"Harpers Ferry city, Iowa",231,2.15,0,26.2,44167,0
"Clare city, Iowa",190,2.89,1,22,52321,0
"Buffalo city, Iowa",1188,2.81,18,20.6,50667,0.9
"McCausland city, Iowa",337,3.1,8,21.9,75179,6.1
"Maysville city, Iowa",198,2.56,2,27.8,63750,11.1
"Panorama Park city, Iowa",88,2.54,2,17.6,-,8.3
"Blencoe city, Iowa",243,3.04,2,23,42500,11.9
"Albia city, Iowa",3766,3.05,30,18.9,43877,9.1
"Guernsey city, Iowa",59,2.75,0,14.6,36667,18.8
"Montezuma city, Iowa",1480,3.01,0,16.1,52788,9.7
"Victor city, Iowa",946,2.91,23,17.8,48125,5.4
"Lime Springs city, Iowa",477,2.87,18,24.1,49688,0
"Morning Sun city, Iowa",912,3.1,5,23.8,50278,2.2
"Agency city, Iowa",605,2.65,2,21.9,36563,6.3
"Mason City city, Iowa",27453,2.85,1047,14.8,47273,8.8
"Dana city, Iowa",48,2.79,3,35.2,33750,14.3
"Colesburg city, Iowa",462,2.73,6,28.2,53500,10.3
"Alden city, Iowa",814,3.09,45,15,51023,5.9
"Elberon city, Iowa",199,3.31,4,28.3,52500,12.5
"Sidney city, Iowa",1032,3.02,77,21.8,41111,18.4
"Thurman city, Iowa",183,3.42,0,33.1,58500,20.9
"Sigourney city, Iowa",2008,2.73,51,17.4,46518,5.2
"Orchard city, Iowa",57,2.19,0,24.1,52031,0
"Alleman city, Iowa",437,2.96,15,23.2,88750,0.7
"Mitchellville city, Iowa",2258,2.97,6,25.3,59957,7.5
"West Des Moines city, Iowa",62999,2.99,7916,17.2,73764,4.2
"Tingley city, Iowa",178,2.95,0,17.7,38750,22.7
"Rodman city, Iowa",46,3,0,16,-,22.2
"Charles City city, Iowa",7427,2.84,562,16.4,40610,19.6
"Rudd city, Iowa",364,2.57,5,20.8,41458,15.1
"Fairfield city, Iowa",10125,2.96,1418,10.6,36781,8.2
"New Hartford city, Iowa",661,3.54,0,23.3,50875,8.4
"Malvern city, Iowa",1023,2.78,1,26.5,65395,4.5
"Adair city, Iowa",855,2.7,31,18.4,43125,9.5
"Jamaica city, Iowa",220,3.02,39,29.5,41250,9.4
"Bradgate city, Iowa",55,2.38,0,19,40000,9.5
"Humboldt city, Iowa",4589,2.87,280,18.3,48140,11.8
"Anamosa city, Iowa",5420,2.78,265,24.9,41484,9.6
"Hastings city, Iowa",175,3.72,1,29.8,33750,11.1
"Henderson city, Iowa",193,3.32,2,36,53500,14
"Manly city, Iowa",1393,2.79,42,19.3,54167,16.9
"Northwood city, Iowa",2034,2.92,44,20.3,46250,12
"Arlington city, Iowa",496,2.77,5,24.8,41250,16.1
"Clermont city, Iowa",562,2.72,26,24.3,43750,10.8
"Maynard city, Iowa",492,2.95,4,17.5,51250,10.6
"Colfax city, Iowa",1908,2.97,29,25.2,46563,5.9
"Lambs Grove city, Iowa",216,2.98,1,22.6,64167,3.2
"Lynnville city, Iowa",437,2.84,3,18.3,60500,3.1
