NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,Median Household Income,DP03_0119PE
"De Leon city, Texas",2292,2.98,470,29.6,37159,17.2
"West University Place city, Texas",15477,3.23,2087,20.1,243226,1.6
"Humble city, Texas",15736,3.52,4989,27.2,38961,16.5
"Hunters Creek Village city, Texas",4749,3.18,681,18.6,"250,000+",0
"Post city, Texas",5568,3.02,2894,15.7,50563,12.6
"Fairfield city, Texas",2918,3.19,445,21.7,45958,13.7
"Fredericksburg city, Texas",11046,3.06,2166,14.5,48893,10.7
"Willis city, Texas",6333,3.58,1979,29.7,42243,8.9
"Union Grove city, Texas",371,3.71,18,22.7,42500,21.1
"Madisonville city, Texas",4578,3.07,1164,16.3,38316,18.1
"Agua Dulce CDP, Texas",3212,4.49,2811,39.6,30450,44.7
"Rangerville village, Texas",47,2.4,37,N,-,0
"North Cleveland city, Texas",221,3.49,51,22.2,27500,38.3
"Prosper town, Texas",17107,3.6,2089,34,133971,2.4
"St. Paul town, Texas",1038,3.44,209,34.7,91953,5.3
"Ore City city, Texas",1219,3.44,90,21.8,40845,15.2
"Ingleside on the Bay city, Texas",777,2.89,53,24.1,77679,2.5
"Lake City town, Texas",470,2.76,97,36,44375,15.2
"Noonday city, Texas",644,2.95,79,24.5,61058,7.1
"Del Rio city, Texas",35951,3.74,23317,18.3,42500,19.1
"Box Canyon CDP, Texas",79,3,56,N,-,30.4
"Amistad CDP, Texas",13,2,2,N,-,0
"Mi Ranchito Estate CDP, Texas",397,3.93,292,N,15688,63.4
"Santel CDP, Texas",0,-,0,-,-,-
"La Escondida CDP, Texas",31,3.1,31,-,-,100
"El Brazil CDP, Texas",33,1.94,33,-,-,0
"La Carla CDP, Texas",210,8.4,124,N,149479,0
"Sammy Martinez CDP, Texas",113,5.38,97,N,-,0
"Martinez CDP, Texas",0,-,0,-,-,-
"El Rancho Vela CDP, Texas",595,6.13,496,33.1,-,15.6
"Valle Hermoso CDP, Texas",0,-,0,-,-,-
"El Mesquite CDP, Texas",0,-,0,-,-,-
"Elias-Fela Solis CDP, Texas",8,-,8,-,-,-
"Alto Bonito Heights CDP, Texas",193,3.78,193,-,19345,29.4
"East Alto Bonito CDP, Texas",929,4.3,889,22.6,26583,31.2
"La Paloma Ranchettes CDP, Texas",326,5,308,22.4,-,44.1
"Delmita CDP, Texas",138,3.66,128,50.9,-,25
"Buena Vista CDP, Texas",189,5.11,155,N,19279,89.2
"Moraida CDP, Texas",45,3.27,45,N,-,0
"Pena CDP, Texas",70,7,70,N,-,100
"San Juan CDP, Texas",73,6.7,73,N,27500,100
"Santa Anna CDP, Texas",51,3.31,51,N,-,0
"Eugenio Saenz CDP, Texas",140,3.15,140,N,-,15.4
"Olmito and Olmito CDP, Texas",220,5.64,220,N,71125,7.7
"Gutierrez CDP, Texas",85,2.13,85,N,-,0
"El Castillo CDP, Texas",281,6.88,252,N,-,50
"Mikes CDP, Texas",687,4.64,635,N,-,71.7
"Canyon Creek CDP, Texas",1630,4.07,86,51.1,54250,31.5
"Cedar Point CDP, Texas",824,2.49,66,33.4,64643,5.8
"Indian Springs CDP, Texas",718,3.38,14,N,24146,71.3
"Pleasant Hill CDP, Texas",816,3.38,435,23.9,55459,16.3
"Cape Royale CDP, Texas",610,1.99,64,35.5,79196,0
"Oakhurst CDP, Texas",288,2.91,0,N,73533,35.4
"Port O'Connor CDP, Texas",1070,2.93,32,31.3,59938,4
"Lantana CDP, Texas",9503,3.51,1141,34.4,142244,0.5
"Paloma Creek CDP, Texas",4123,3.83,291,37.8,93750,5.4
"Paloma Creek South CDP, Texas",6406,3.28,728,38.7,94939,7.7
"Savannah CDP, Texas",4601,3.34,469,42.9,101635,3
"Valle Vista CDP, Texas",464,6.54,429,N,-,60.6
"Rivereno CDP, Texas",19,-,19,-,-,-
"Burton city, Texas",484,3.73,17,27.5,54375,5.5
"Manchaca CDP, Texas",1031,3.53,274,32.2,62234,0
"Hornsby Bend CDP, Texas",7124,3.82,3140,33.2,64240,9.5
"Callender Lake CDP, Texas",1294,3.34,17,27.3,49190,3.6
"Myrtle Springs CDP, Texas",395,2.65,0,N,51607,14
"Chilton CDP, Texas",743,3.88,338,26.9,42391,11.2
"Sherwood Shores CDP, Texas",1259,3.05,40,35.4,44375,4.8
"Preston CDP, Texas",1438,2.61,15,22.6,35688,12.7
"Valley View city, Texas",941,3.34,92,25.2,65982,4
"Ivanhoe city, Texas",1381,2.8,93,30.5,32872,24.4
"César Chávez CDP, Texas",1442,3.73,1140,26.9,53022,26.8
"Coyote Flats city, Texas",373,3.02,23,29.1,50000,14.2
"Graford city, Texas",686,4.01,120,31.2,46000,12.6
"Presidio city, Texas",4103,3.66,3778,21.2,22959,22.9
"Redford CDP, Texas",93,5.47,55,N,-,100
"Austwell city, Texas",134,2.12,19,31.8,49125,10
"Prairie View city, Texas",6286,3.59,595,18.8,20643,29.9
"Electra city, Texas",2716,2.57,195,21,29490,17.1
"Iowa Park city, Texas",6363,2.95,134,17.5,48434,6
"Scotland city, Texas",503,3.77,85,23.8,62500,7.3
"Windthorst town, Texas",355,2.78,95,15.2,55781,4.6
"Hereford city, Texas",15003,3.74,7434,12.4,49881,15.5
"Damon CDP, Texas",370,3.04,13,32.6,60104,27.8
"Brookshire city, Texas",5087,3.75,2077,17.5,37069,21.1
"Pleasant Valley town, Texas",380,3.22,1,18.4,71875,2.1
